ANY,MES,DIA,ESTACIO,CODI_CONTAMINANT,value,hour,station_id,pollutant_code,validity,datetime,date,pollutant_name
2024,5,1,4,10,10.0,0,4,10,1,2024-05-01 00:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,14.0,1,4,10,1,2024-05-01 01:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,13.0,2,4,10,1,2024-05-01 02:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,17.0,3,4,10,1,2024-05-01 03:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,14.0,4,4,10,1,2024-05-01 04:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,14.0,5,4,10,1,2024-05-01 05:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,16.0,6,4,10,1,2024-05-01 06:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,14.0,7,4,10,1,2024-05-01 07:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,19.0,8,4,10,1,2024-05-01 08:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,13.0,9,4,10,1,2024-05-01 09:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,19.0,10,4,10,1,2024-05-01 10:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,24.0,11,4,10,1,2024-05-01 11:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,19.0,12,4,10,1,2024-05-01 12:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,18.0,13,4,10,1,2024-05-01 13:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,5.0,14,4,10,1,2024-05-01 14:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,4.0,15,4,10,1,2024-05-01 15:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,3.0,16,4,10,1,2024-05-01 16:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,2.0,17,4,10,1,2024-05-01 17:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,5.0,18,4,10,1,2024-05-01 18:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,6.0,19,4,10,1,2024-05-01 19:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,4.0,20,4,10,1,2024-05-01 20:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,4.0,21,4,10,1,2024-05-01 21:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,7.0,22,4,10,1,2024-05-01 22:00:00+02:00,2024-05-01,pm10
2024,5,1,4,10,7.0,23,4,10,1,2024-05-01 23:00:00+02:00,2024-05-01,pm10
2024,5,2,4,10,7.0,0,4,10,1,2024-05-02 00:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,6.0,1,4,10,1,2024-05-02 01:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,6.0,2,4,10,1,2024-05-02 02:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,7.0,3,4,10,1,2024-05-02 03:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,7.0,4,4,10,1,2024-05-02 04:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,7.0,5,4,10,1,2024-05-02 05:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,8.0,6,4,10,1,2024-05-02 06:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,10.0,7,4,10,1,2024-05-02 07:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,14.0,8,4,10,1,2024-05-02 08:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,13.0,9,4,10,1,2024-05-02 09:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,12.0,10,4,10,1,2024-05-02 10:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,13.0,11,4,10,1,2024-05-02 11:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,15.0,12,4,10,1,2024-05-02 12:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,11.0,13,4,10,1,2024-05-02 13:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,8.0,14,4,10,1,2024-05-02 14:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,19.0,15,4,10,1,2024-05-02 15:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,31.0,16,4,10,1,2024-05-02 16:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,22.0,17,4,10,1,2024-05-02 17:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,53.0,18,4,10,1,2024-05-02 18:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,30.0,19,4,10,1,2024-05-02 19:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,17.0,20,4,10,1,2024-05-02 20:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,14.0,21,4,10,1,2024-05-02 21:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,15.0,22,4,10,1,2024-05-02 22:00:00+02:00,2024-05-02,pm10
2024,5,2,4,10,13.0,23,4,10,1,2024-05-02 23:00:00+02:00,2024-05-02,pm10
2024,5,3,4,10,12.0,0,4,10,1,2024-05-03 00:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,16.0,1,4,10,1,2024-05-03 01:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,13.0,2,4,10,1,2024-05-03 02:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,12.0,3,4,10,1,2024-05-03 03:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,8.0,4,4,10,1,2024-05-03 04:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,7.0,5,4,10,1,2024-05-03 05:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,15.0,6,4,10,1,2024-05-03 06:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,26.0,7,4,10,1,2024-05-03 07:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,21.0,8,4,10,1,2024-05-03 08:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,24.0,9,4,10,1,2024-05-03 09:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,29.0,10,4,10,1,2024-05-03 10:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,29.0,11,4,10,1,2024-05-03 11:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,27.0,12,4,10,1,2024-05-03 12:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,33.0,13,4,10,1,2024-05-03 13:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,16.0,14,4,10,1,2024-05-03 14:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,13.0,15,4,10,1,2024-05-03 15:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,25.0,16,4,10,1,2024-05-03 16:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,15.0,17,4,10,1,2024-05-03 17:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,26.0,18,4,10,1,2024-05-03 18:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,29.0,19,4,10,1,2024-05-03 19:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,16.0,20,4,10,1,2024-05-03 20:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,17.0,21,4,10,1,2024-05-03 21:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,18.0,22,4,10,1,2024-05-03 22:00:00+02:00,2024-05-03,pm10
2024,5,3,4,10,20.0,23,4,10,1,2024-05-03 23:00:00+02:00,2024-05-03,pm10
2024,5,4,4,10,30.0,0,4,10,1,2024-05-04 00:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,24.0,1,4,10,1,2024-05-04 01:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,11.0,2,4,10,1,2024-05-04 02:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,18.0,3,4,10,1,2024-05-04 03:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,16.0,4,4,10,1,2024-05-04 04:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,16.0,5,4,10,1,2024-05-04 05:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,18.0,6,4,10,1,2024-05-04 06:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,23.0,7,4,10,1,2024-05-04 07:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,31.0,8,4,10,1,2024-05-04 08:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,22.0,9,4,10,1,2024-05-04 09:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,38.0,10,4,10,1,2024-05-04 10:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,44.0,11,4,10,1,2024-05-04 11:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,40.0,12,4,10,1,2024-05-04 12:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,48.0,13,4,10,1,2024-05-04 13:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,31.0,14,4,10,1,2024-05-04 14:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,26.0,15,4,10,1,2024-05-04 15:00:00+02:00,2024-05-04,pm10
2024,5,4,4,10,15.0,16,4,10,1,2024-05-04 16:00:00+02:00,2024-05-04,pm10
